# column 1: model
# column 2: total dust mass
t11_p1_q1.5_oa80_R10_Mcl0.97    840.528 Msun
t11_p1_q1.5_oa80_R20_Mcl0.97    2602.99 Msun
t11_p1_q1.5_oa80_R30_Mcl0.97    5166.3 Msun
t11_p1_q1_oa10_R10_Mcl0.97    253.757 Msun
t11_p1_q1_oa10_R20_Mcl0.97    783.66 Msun
t11_p1_q1_oa10_R30_Mcl0.97    1554.84 Msun
t11_p1_q1_oa20_R10_Mcl0.97    467.935 Msun
t11_p1_q1_oa20_R20_Mcl0.97    1447.4 Msun
t11_p1_q1_oa20_R30_Mcl0.97    2872.26 Msun
t11_p1_q1_oa30_R10_Mcl0.97    638.884 Msun
t11_p1_q1_oa30_R20_Mcl0.97    1977.27 Msun
t11_p1_q1_oa30_R30_Mcl0.97    3923.69 Msun
t11_p1_q1_oa40_R10_Mcl0.97    771.799 Msun
t11_p1_q1_oa40_R20_Mcl0.97    2389.41 Msun
t11_p1_q1_oa40_R30_Mcl0.97    4742.03 Msun
t11_p1_q1_oa50_R10_Mcl0.97    872.122 Msun
t11_p1_q1_oa50_R20_Mcl0.97    2700.63 Msun
t11_p1_q1_oa50_R30_Mcl0.97    5359.87 Msun
t11_p1_q1_oa60_R10_Mcl0.97    945.132 Msun
t11_p1_q1_oa60_R20_Mcl0.97    2927.05 Msun
t11_p1_q1_oa60_R30_Mcl0.97    5809.37 Msun
t11_p1_q1_oa70_R10_Mcl0.97    994.569 Msun
t11_p1_q1_oa70_R20_Mcl0.97    3080.07 Msun
t11_p1_q1_oa70_R30_Mcl0.97    6113.15 Msun
t11_p1_q1_oa80_R10_Mcl0.97    1023.23 Msun
t11_p1_q1_oa80_R20_Mcl0.97    3168.94 Msun
t11_p1_q1_oa80_R30_Mcl0.97    6289.91 Msun
t3_p0.5_q0.5_oa10_R10_Mcl0.97    98.0076 Msun
t3_p0.5_q0.5_oa10_R20_Mcl0.97    345.487 Msun
t3_p0.5_q0.5_oa10_R30_Mcl0.97    738.775 Msun
t3_p0.5_q0.5_oa20_R10_Mcl0.97    187.669 Msun
t3_p0.5_q0.5_oa20_R20_Mcl0.97    662.196 Msun
t3_p0.5_q0.5_oa20_R30_Mcl0.97    1415.88 Msun
t3_p0.5_q0.5_oa30_R10_Mcl0.97    265.323 Msun
t3_p0.5_q0.5_oa30_R20_Mcl0.97    936.466 Msun
t3_p0.5_q0.5_oa30_R30_Mcl0.97    2002.34 Msun
t3_p0.5_q0.5_oa40_R10_Mcl0.97    330.475 Msun
t3_p0.5_q0.5_oa40_R20_Mcl0.97    1166.62 Msun
t3_p0.5_q0.5_oa40_R30_Mcl0.97    2494.25 Msun
t3_p0.5_q0.5_oa50_R10_Mcl0.97    383.078 Msun
t3_p0.5_q0.5_oa50_R20_Mcl0.97    1352.56 Msun
